CD_MUN,cluster_final
1100015,0
1100023,0
1100031,0
1100049,0
1100056,0
1100064,0
1100072,0
1100080,0
1100106,0
1100114,0
1100122,0
1100130,0
1100148,0
1100155,0
1100189,0
1100205,0
1100254,0
1100262,0
1100288,0
1100296,0
1100304,0
1100320,0
1100338,0
1100346,0
1100379,0
1100403,0
1100452,0
1100502,0
1100601,0
1100700,0
1100809,0
1100908,0
1100924,0
1100940,0
1101005,0
1101104,0
1101203,0
1101302,0
1101401,0
1101435,0
1101450,0
1101468,0
1101476,0
1101484,0
1101492,0
1101500,0
1101559,0
1101609,0
1101708,0
1101757,0
1101807,0
1200013,0
1200054,0
1200104,0
1200138,0
1200179,0
1200203,0
1200302,0
1200328,0
1200336,0
1200344,0
1200351,0
1200385,0
1200393,0
1200401,0
1200427,0
1200435,0
1200450,0
1200500,0
1200609,0
1200708,0
1200807,0
1300029,0
1300060,0
1300086,0
1300102,0
1300144,0
1300201,0
1300300,0
1300409,0
1300508,0
1300607,0
1300631,0
1300680,0
1300706,0
1300805,0
1300839,0
1300904,0
1301001,0
1301100,0
1301159,0
1301209,0
1301308,0
1301407,0
1301506,0
1301605,0
1301654,0
1301704,0
1301803,0
1301852,0
1301902,0
1301951,0
1302009,0
1302108,0
1302207,0
1302306,0
1302405,0
1302504,0
1302553,0
1302603,1
1302702,0
1302801,0
1302900,0
1303007,0
1303106,0
1303205,0
1303304,0
1303403,0
1303502,0
1303536,0
1303569,0
1303601,0
1303700,0
1303809,0
1303908,0
1303957,0
1304005,0
1304062,0
1304104,0
1304203,0
1304237,0
1304260,0
1304302,0
1304401,0
1400027,0
1400050,0
1400100,0
1400159,0
1400175,0
1400209,0
1400233,0
1400282,0
1400308,0
1400407,0
1400456,0
1400472,0
1400506,0
1400605,0
1400704,0
1500107,0
1500131,0
1500206,0
1500305,0
1500347,0
1500404,0
1500503,0
1500602,0
1500701,0
1500800,0
1500859,0
1500958,0
1501006,0
1501105,0
1501204,0
1501253,0
1501303,0
1501402,1
1501451,0
1501501,0
1501576,0
1501600,0
1501709,0
1501725,0
1501758,0
1501782,0
1501808,0
1501907,0
1501956,0
1502004,0
1502103,0
1502152,0
1502202,0
1502301,0
1502400,0
1502509,0
1502608,0
1502707,0
1502756,0
1502764,0
1502772,0
1502806,0
1502855,0
1502905,0
1502939,0
1502954,0
1503002,0
1503044,0
1503077,0
1503093,0
1503101,0
1503200,0
1503309,0
1503408,0
1503457,0
1503507,0
1503606,0
1503705,0
1503754,0
1503804,0
1503903,0
1504000,0
1504059,0
1504109,0
1504208,0
1504307,0
1504406,0
1504422,0
1504455,0
1504505,0
1504604,0
1504703,0
1504752,0
1504802,0
1504901,0
1504950,0
1504976,0
1505007,0
1505031,0
1505064,0
1505106,0
1505205,0
1505304,0
1505403,0
1505437,0
1505486,0
1505494,0
1505502,0
1505536,0
1505551,0
1505601,0
1505635,0
1505650,0
1505700,0
1505809,0
1505908,0
1506005,0
1506104,0
1506112,0
1506138,0
1506161,0
1506187,0
1506195,0
1506203,0
1506302,0
1506351,0
1506401,0
1506500,0
1506559,0
1506583,0
1506609,0
1506708,0
1506807,0
1506906,0
1507003,0
1507102,0
1507151,0
1507201,0
1507300,0
1507409,0
1507458,0
1507466,0
1507474,0
1507508,0
1507607,0
1507706,0
1507755,0
1507805,0
1507904,0
1507953,0
1507961,0
1507979,0
1508001,0
1508035,0
1508084,0
1508100,0
1508126,0
1508159,0
1508209,0
1508308,0
1508357,0
1508407,0
1600055,0
1600105,0
1600154,0
1600204,0
1600212,0
1600238,0
1600253,0
1600279,0
1600303,0
1600402,1001
1600501,1001
1600535,1001
1600550,1001
1600600,1000
1600709,1001
1600808,1001
1700251,1001
1700301,1001
1700350,1001
1700400,1001
1700707,1001
1701002,1001
1701051,1001
1701101,1001
1701309,1001
1701903,1001
1702000,1001
1702109,1000
1702158,1001
1702208,1001
1702307,1001
1702406,1001
1702554,1001
1702703,1001
1702901,1001
1703008,1001
1703057,1001
1703073,1001
1703107,1001
1703206,1001
1703305,1001
1703602,1001
1703701,1001
1703800,1001
1703826,1001
1703842,1001
1703867,1001
1703883,1001
1703891,1001
1703909,1001
1704105,1001
1704600,1001
1705102,1001
1705508,1001
1705557,1001
1705607,1001
1706001,1001
1706100,1001
1706258,1001
1706506,1001
1707009,1001
1707108,1001
1707207,1001
1707306,1001
1707405,1001
1707553,1001
1707652,1001
1707702,1001
1708205,1001
1708254,1001
1708304,1001
1709005,1001
1709302,1001
1709500,1000
1709807,1001
1710508,1001
1710706,1001
1710904,1001
1711100,1001
1711506,1001
1711803,1001
1711902,1001
1711951,1001
1712009,1001
1712157,1001
1712405,1001
1712454,1001
1712504,1001
1712702,1001
1712801,1001
1713205,1001
1713304,1001
1713601,1001
1713700,1001
1713809,1001
1713957,1001
1714203,1001
1714302,1001
1714880,1001
1715002,1001
1715101,1001
1715150,1001
1715507,1001
1715705,1001
1715754,1001
1716109,1001
1716208,1001
1716307,1001
1716505,1001
1716604,1001
1716653,1001
1716703,1001
1717008,1001
1717206,1001
1717503,1001
1717800,1001
1717909,1001
1718006,1001
1718204,1000
1718303,1001
1718402,1001
1718501,1001
1718550,1001
1718659,1001
1718709,1001
1718758,1001
1718808,1001
1718840,1001
1718865,1001
1718881,1001
1718899,1001
1718907,1001
1719004,1001
1720002,1001
1720101,1001
1720150,1001
1720200,1001
1720259,1001
1720309,1001
1720499,1001
1720655,1001
1720804,1001
1720853,1001
1720903,1001
1720937,1001
1720978,1001
1721000,1000
1721109,1001
1721208,1001
1721257,1001
1721307,1001
1722081,1001
1722107,1001
2100055,1000
2100105,1001
2100154,1001
2100204,1001
2100303,1001
2100402,1001
2100436,1001
2100477,1001
2100501,1001
2100550,1001
2100600,1001
2100709,1001
2100808,1001
2100832,1001
2100873,1001
2100907,1001
2100956,1001
2101004,1001
2101103,1001
2101202,1000
2101251,1001
2101301,1001
2101350,1001
2101400,1000
2101509,1001
2101608,1000
2101707,1001
2101731,1001
2101772,1001
2101806,1001
2101905,1001
2101939,1001
2101970,1001
2102002,1001
2102036,1001
2102077,1001
2102101,1001
2102150,1001
2102200,1001
2102309,1001
2102325,1001
2102358,1001
2102374,1001
2102507,1001
2102556,1001
2102606,1001
2102705,1001
2102754,1001
2102804,1001
2102903,1001
2103000,1000
2103109,1001
2103125,1001
2103158,1001
2103174,1001
2103208,1000
2103257,1001
2103307,1000
2103406,1001
2103505,1001
2103554,1001
2103604,1000
2103703,1001
2103752,1001
2103802,1001
2103901,1001
2104008,1001
2104057,1001
2104073,1001
2104081,1001
2104099,1001
2104107,1001
2104206,1001
2104305,1001
2104404,1001
2104503,1001
2104552,1001
2104602,1001
2104628,1001
2104651,1001
2104677,1001
2104701,1001
2104800,1001
2104909,1001
2105005,1001
2105104,1001
2105153,1001
2105203,1001
2105302,1000
2105351,1001
2105401,1001
2105427,1001
2105450,1001
2105476,1001
2105500,1001
2105609,1001
2105658,1001
2105708,1001
2105807,1001
2105906,1001
2105922,1001
2105948,1001
2105963,1001
2105989,1001
2106003,1001
2106102,1001
2106201,1001
2106300,1001
2106326,1001
2106359,1001
2106375,1001
2106409,1001
2106508,1001
2106607,1001
2106631,1001
2106672,1001
2106706,1001
2106755,1001
2106805,1001
2106904,1001
2107001,1001
2107100,1001
2107209,1001
2107258,1001
2107308,1001
2107357,1001
2107407,1001
2107456,1001
2107506,1000
2107605,1001
2107704,1001
2107803,1001
2107902,1001
2108009,1001
2108058,1001
2108108,1001
2108207,1001
2108256,1001
2108306,1001
2108405,1001
2108454,1001
2108504,1001
2108603,1000
2108702,1001
2108801,1001
2108900,1001
2109007,1001
2109056,1001
2109106,1001
2109205,1001
2109239,1001
2109270,1001
2109304,1001
2109403,1001
2109452,1001
2109502,1001
2109551,2000
2109601,2000
2109700,2000
2109759,2000
2109809,2000
2109908,2000
2110005,2000
2110039,2000
2110104,2000
2110203,2000
2110237,2000
2110278,2000
2110302,2000
2110401,2000
2110500,2000
2110609,2000
2110658,2000
2110708,2000
2110807,2000
2110856,2000
2110906,2000
2111003,2000
2111029,2000
2111052,2000
2111078,2000
2111102,2000
2111201,2000
2111250,2000
2111300,2001
2111409,2000
2111508,2000
2111532,2000
2111573,2000
2111607,2000
2111631,2000
2111672,2000
2111706,2000
2111722,2000
2111748,2000
2111763,2000
2111789,2000
2111805,2000
2111904,2000
2111953,2000
2112001,2000
2112100,2000
2112233,2000
2112274,2000
2112308,2000
2112407,2000
2112456,2000
2112506,2000
2112605,2000
2112704,2000
2112803,2000
2112852,2000
2112902,2000
2113009,2000
2114007,2000
2200053,2000
2200103,2000
2200202,2000
2200251,2000
2200277,2000
2200301,2000
2200400,2000
2200459,2000
2200509,2000
2200608,2000
2200707,2000
2200806,2000
2200905,2000
2200954,2000
2201002,2000
2201051,2000
2201101,2000
2201150,2000
2201176,2000
2201200,2000
2201309,2000
2201408,2000
2201507,2000
2201556,2000
2201572,2000
2201606,2000
2201705,2000
2201739,2000
2201770,2000
2201804,2000
2201903,2000
2201919,2000
2201929,2000
2201945,2000
2201960,2000
2201988,2000
2202000,2000
2202026,2000
2202059,2000
2202075,2000
2202083,2000
2202091,2000
2202109,2000
2202117,2000
2202133,2000
2202174,2000
2202208,2000
2202251,2000
2202307,2000
2202406,2000
2202455,2000
2202505,2000
2202539,2000
2202554,2000
2202604,2000
2202653,2000
2202703,2000
2202711,2000
2202729,2000
2202737,2000
2202752,2000
2202778,2000
2202802,2000
2202851,2000
2202901,2000
2203008,2000
2203107,2000
2203206,2000
2203230,2000
2203255,2000
2203271,2000
2203305,2000
2203354,2000
2203404,2000
2203420,2000
2203453,2000
2203503,2000
2203602,2000
2203701,2000
2203750,2000
2203800,2000
2203859,2000
2203909,2000
2204006,2000
2204105,2000
2204154,2000
2204204,2000
2204303,2000
2204352,2000
2204402,2000
2204501,2000
2204550,2000
2204600,2000
2204709,2000
2204808,2000
2204907,2000
2205003,2000
2205102,2000
2205151,2000
2205201,2000
2205250,2000
2205276,2000
2205300,2000
2205359,2000
2205409,2000
2205458,2000
2205508,2000
2205516,2000
2205524,2000
2205532,2000
2205540,2000
2205557,2000
2205565,2000
2205581,2000
2205599,2000
2205607,2000
2205706,2000
2205805,2000
2205854,2000
2205904,2000
2205953,2000
2206001,2000
2206050,2000
2206100,2000
2206209,2000
2206308,2000
2206357,2000
2206407,2000
2206506,2000
2206605,2000
2206654,2000
2206670,2000
2206696,2000
2206704,2000
2206720,2000
2206753,2000
2206803,2000
2206902,2000
2206951,2000
2207009,2000
2207108,2000
2207207,2000
2207306,2000
2207355,2000
2207405,2000
2207504,2000
2207553,2000
2207603,2000
2207702,2000
2207751,2000
2207777,2000
2207793,2000
2207801,2000
2207850,2000
2207900,2000
2207934,2000
2207959,2000
2208007,2000
2208106,2000
2208205,2000
2208304,2000
2208403,2000
2208502,2000
2208551,2000
2208601,2000
2208650,2000
2208700,2000
2208809,2000
2208858,2000
2208874,2000
2208908,2000
2209005,2000
2209104,2000
2209153,2000
2209203,2000
2209302,2000
2209351,2000
2209377,2000
2209401,2000
2209450,2000
2209500,2000
2209559,2000
2209609,2000
2209658,2000
2209708,2000
2209757,2000
2209807,2000
2209856,2000
2209872,2000
2209906,2000
2209955,2000
2209971,2000
2210003,2000
2210052,2000
2210102,2000
2210201,2000
2210300,2000
2210359,2000
2210375,2000
2210383,2000
2210391,2000
2210409,2000
2210508,2000
2210607,2000
2210623,2000
2210631,2000
2210656,2000
2210706,2000
2210805,2000
2210904,2000
2210938,2000
2210953,2000
2210979,2000
2211001,2001
2211100,2000
2211209,2000
2211308,2000
2211357,2000
2211407,2000
2211506,2000
2211605,2000
2211704,2000
2300200,2000
2300309,2000
2300408,2000
2300705,2000
2300754,2000
2300804,2000
2300903,2000
2301109,2000
2301257,2000
2301307,2000
2301406,2000
2301505,2000
2301604,2000
2301703,2000
2301802,2000
2302008,2000
2302057,2000
2302107,2000
2302404,2000
2302503,3000
2302602,3000
2302701,3000
2302800,3000
2302909,3000
2303006,3000
2303105,3000
2303204,3000
2303303,3000
2303402,3000
2303600,3000
2303808,3000
2303907,3000
2304004,3000
2304103,3000
2304269,3000
2304277,3000
2304301,3000
2304608,3000
2304707,3000
2304954,3000
2305001,3000
2305100,3000
2305209,3000
2305308,3000
2305407,3000
2305506,3000
2305605,3000
2305654,3000
2305704,3000
2305803,3000
2305902,3000
2306009,3000
2306108,3000
2306256,3000
2306306,3000
2306405,3000
2306504,3000
2306603,3000
2306702,3000
2306801,3000
2306900,3000
2307007,3000
2307205,3000
2307304,3000
2307403,3000
2307502,3000
2307700,3000
2307809,3000
2307908,3000
2308005,3000
2308104,3000
2308351,3000
2308401,3000
2308500,3000
2308609,3000
2308708,3000
2308807,3000
2308906,3000
2309102,3000
2309300,3000
2309409,3000
2309458,3000
2309508,3000
2309607,3000
2309805,3000
2309904,3000
2310100,3000
2310308,3000
2310407,3000
2310506,3000
2310704,3000
2310803,3000
2310902,3000
2311009,3000
2311207,3000
2311231,3000
2311264,3000
2311306,3000
2311355,3000
2311405,3000
2311702,3000
2311801,3000
2311900,3000
2311959,3000
2312007,3000
2312106,3000
2312205,3000
2312304,3000
2312403,3000
2312601,3000
2312700,3000
2312809,3000
2313005,3000
2313104,3000
2313203,3000
2313252,3000
2313302,3000
2313351,3000
2313401,3000
2313500,3000
2313559,3000
2313609,3000
2313708,3000
2313757,3000
2313906,3000
2313955,3000
2314003,3000
2314102,3000
2400109,3000
2400208,3000
2400307,3000
2400406,3000
2400505,3000
2400604,3000
2400703,3000
2400802,3000
2400901,3000
2401008,3000
2401107,3000
2401206,3000
2401305,3000
2401404,3000
2401503,3000
2401602,3000
2401651,3000
2401701,3000
2401800,3000
2401859,3000
2401909,3000
2402006,3000
2402105,3000
2402204,3000
2402303,3000
2402402,3000
2402501,3000
2402600,3000
2402709,3000
2402808,3000
2402907,3000
2403004,3000
2403103,3000
2403202,3000
2403251,3000
2403301,3000
2403400,3000
2403509,3000
2403707,3000
2403756,3000
2403806,3000
2403905,3000
2404002,3000
2404101,3000
2404200,3000
2404309,3000
2404507,3000
2404606,3000
2404705,3000
2404804,3000
2404853,3000
2404903,3000
2405009,3000
2405108,3000
2405207,3000
2405306,3000
2405405,3000
2405504,3000
2405603,3000
2405702,3000
2405801,3000
2405900,3000
2406007,3000
2406106,3000
2406155,3000
2406205,3000
2406304,3000
2406403,3000
2406502,3000
2406601,3000
2406700,3000
2406809,3000
2406908,3000
2407005,3000
2407104,3000
2407203,3000
2407252,3000
2407302,3000
2407401,3000
2407500,3000
2407609,3000
2407807,3000
2407906,3000
2408003,3000
2408102,3001
2408201,3000
2408300,3000
2408409,3000
2408508,3000
2408607,3000
2408706,3000
2408805,3000
2408904,3000
2408953,3000
2409100,3000
2409209,3000
2409308,3000
2409332,3000
2409407,3000
2409506,3000
2409605,3000
2409704,3000
2409803,3000
2409902,3000
2410009,3000
2410108,3000
2410207,3000
2410256,3000
2410306,3000
2410405,3000
2410504,3000
2410603,3000
2410702,3000
2410801,3000
2410900,3000
2411007,3000
2411106,3000
2411205,3000
2411403,3000
2411429,3000
2411502,3000
2411601,3000
2411700,3000
2411809,3000
2411908,3000
2412005,3000
2412104,3000
2412203,3000
2412302,3000
2412401,3000
2412500,3000
2412559,3000
2412609,3000
2412708,3000
2412807,3000
2412906,3000
2413003,3000
2413102,3000
2413201,3000
2413300,3000
2413359,3000
2413409,3000
2413508,3000
2413557,3000
2413607,3000
2413706,3000
2413805,3000
2413904,3000
2414001,3000
2414100,3000
2414159,3000
2414209,3000
2414308,3000
2414407,3000
2414456,3000
2414506,3000
2414605,3000
2414704,3000
2414753,3000
2414803,3000
2414902,3000
2415008,3000
2500106,3000
2500205,3000
2500304,3000
2500403,3000
2500502,3000
2500536,3000
2500577,3000
2500700,3000
2500734,3000
2500775,3000
2500809,3000
2500908,3000
2501005,3000
2501104,3000
2501153,3000
2501203,3000
2501302,3000
2501351,3000
2501401,3000
2501500,3000
2501534,3000
2501575,3000
2501609,3000
2501708,3000
2501906,3000
2502003,3000
2502052,3000
2502102,3000
2502151,3000
2502201,4000
2502300,4000
2502409,4000
2502508,4000
2502607,4000
2502706,4000
2502805,4000
2502904,4000
2503100,4000
2503308,4000
2503407,4000
2503506,4000
2503555,4000
2503605,4000
2503704,4000
2503753,4000
2503803,4000
2503902,4000
2504009,4000
2504033,4000
2504074,4000
2504108,4000
2504157,4000
2504207,4000
2504306,4000
2504405,4000
2504504,4000
